Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
I1,22/08/2015,Lazio,Bologna,2,1,H,2,1,H,21,9,9,4,18,8,10,3,2,1,0,0,1.5,4.2,7,1.5,3.8,7,1.5,4,6.1,1.48,4.52,8.27,1.5,4,7,1.45,4.5,8,1.48,4.32,8.99
I1,22/08/2015,Verona,Roma,1,1,D,0,0,D,12,21,7,8,9,11,3,7,2,1,0,0,5.5,3.75,1.67,5,3.6,1.7,4.5,3.5,1.75,5.35,3.87,1.74,5,3.5,1.73,5.5,3.7,1.75,5.68,3.85,1.71
I1,23/08/2015,Empoli,Chievo,1,3,A,1,0,H,15,12,5,3,15,19,8,5,1,2,0,0,2.15,3.25,3.6,2.2,3.1,3.4,2.3,3.2,3,2.2,3.28,3.83,2.2,3.1,3.5,2.2,3.13,4,2.34,3.31,3.45
I1,23/08/2015,Fiorentina,Milan,2,0,H,1,0,H,13,8,7,0,18,16,4,5,3,2,0,1,2.15,3.4,3.5,2.2,3.1,3.4,2.3,3.3,2.9,2.19,3.44,3.66,2.2,3.1,3.5,2.15,3.4,3.75,2.31,3.35,3.47
I1,23/08/2015,Frosinone,Torino,1,2,A,1,0,H,13,26,3,7,10,11,3,12,2,2,0,0,3.5,3.25,2.2,3.4,3.1,2.2,2.9,3.3,2.3,3.79,3.32,2.2,3.4,3.1,2.25,3.75,3.13,2.25,3.77,3.44,2.16
I1,23/08/2015,Inter,Atalanta,1,0,H,0,0,D,21,4,7,0,14,12,9,1,2,2,0,1,1.45,4.33,7.5,1.5,4,6.5,1.5,4,6.1,1.5,4.39,8.01,1.5,4,7,1.45,4.4,8,1.66,3.95,6.1
I1,23/08/2015,Juventus,Udinese,0,1,A,0,0,D,21,6,5,2,14,22,10,2,1,3,0,0,1.29,5.5,11,1.3,5,10,1.3,5,9,1.31,5.72,12.11,1.3,5,11,1.25,5.75,13,1.37,4.9,11.89
I1,23/08/2015,Palermo,Genoa,1,0,H,0,0,D,19,11,6,3,10,13,5,6,1,1,0,0,2.2,3.4,3.3,2.25,3.1,3.3,2.3,3.3,2.9,2.22,3.41,3.61,2.25,3.1,3.4,2.25,3.25,3.7,2.04,3.45,4.2
I1,23/08/2015,Sampdoria,Carpi,5,2,H,5,1,H,10,24,7,7,15,16,4,8,1,3,1,0,1.8,3.5,4.75,1.75,3.3,5,1.8,3.5,4.2,1.83,3.6,5.1,1.8,3.3,5,1.8,3.5,5.5,2.09,3.27,4.26
I1,23/08/2015,Sassuolo,Napoli,2,1,H,1,1,D,16,15,6,3,13,21,5,1,4,2,0,0,4.33,3.75,1.8,4.5,3.4,1.8,4,3.45,1.85,5.11,3.69,1.81,4.5,3.4,1.83,5.2,3.6,1.8,4.88,3.71,1.83
I1,29/08/2015,Bologna,Sassuolo,0,1,A,0,0,D,6,9,2,2,15,13,11,5,3,1,0,0,2.25,3.3,3.3,2.3,3,3.3,2.3,3.2,3,2.25,3.38,3.59,2.25,3,3.5,2.3,3.2,3.6,2.93,3.2,2.72
I1,29/08/2015,Milan,Empoli,2,1,H,1,1,D,6,18,4,3,20,16,6,5,0,2,0,0,1.5,4.2,7,1.5,4.1,6.25,1.45,4,7,1.52,4.43,7.31,1.53,4,6.5,1.5,4.3,8,1.67,4.05,5.7
